File Name,,Reference,Verse,,,,,,
24-John1010_30_12_13.mp4,"""The thief comes only to steal and kill and destroy. I came that they may have life and have it abundantly."" - John 10:10",John 10:10,The thief comes only to steal and kill and destroy. I came that they may have life and have it abundantly.,John 10:10 | Daily verse #bible ,,,,,John 10:10 | Daily verse #bible 
25-Luke1510_3_28_13.mp4,"""Just so, I tell you, there is joy before the angels of God over one sinner who repents.”"" - Luke 15:10",Luke 15:10,"Just so, I tell you, there is joy before the angels of God over one sinner who repents.”",Luke 15:10 | Daily verse #bible ,,,,,Luke 15:10 | Daily verse #bible 
26-2Timothy316_0_11_4.mp4,"""All Scripture is breathed out by God and profitable for teaching, for reproof, for correction, and for training in righteousness,"" - 2 Timothy 3:16",2 Timothy 3:16,"All Scripture is breathed out by God and profitable for teaching, for reproof, for correction, and for training in righteousness,",2 Timothy 3:16 | Daily verse #bible ,,,,,2 Timothy 3:16 | Daily verse #bible 
27-Psalm348_27_47_10.mp4,"""Oh, taste and see that the Lord is good! Blessed is the man who takes refuge in him!"" - Psalm 34:8",Psalm 34:8,"Oh, taste and see that the Lord is good! Blessed is the man who takes refuge in him!",Psalm 34:8 | Daily verse #bible ,,,,,Psalm 34:8 | Daily verse #bible 
28-Joshua19_8_23_5.mp4,"""Have I not commanded you? Be strong and courageous. Do not be frightened, and do not be dismayed, for the Lord your God is with you wherever you go.”"" - Joshua 1:9",Joshua 1:9,"Have I not commanded you? Be strong and courageous. Do not be frightened, and do not be dismayed, for the Lord your God is with you wherever you go.”",Joshua 1:9 | Daily verse #bible ,,,,,Joshua 1:9 | Daily verse #bible 
29-Proverbs1810_18_10_6.mp4,"""The name of the Lord is a strong tower; the righteous man runs into it and is safe."" - Proverbs 18:10",Proverbs 18:10,The name of the Lord is a strong tower; the righteous man runs into it and is safe.,Proverbs 18:10 | Daily verse #bible ,,,,,Proverbs 18:10 | Daily verse #bible 
3-Matthew1926_15_2_6.mp4,"""But Jesus looked at them and said, “With man this is impossible, but with God all things are possible.”"" - Matthew 19:26",Matthew 19:26,"But Jesus looked at them and said, “With man this is impossible, but with God all things are possible.”",Matthew 19:26 | Daily verse #bible ,,,,,Matthew 19:26 | Daily verse #bible 
30-Colossians323-24_45_11_3.mp4,"""Whatever you do, work heartily, as for the Lord and not for men, knowing that from the Lord you will receive the inheritance as your reward. You are serving the Lord Christ."" - Colossians 3:23-24",Colossians 3:23-24,"Whatever you do, work heartily, as for the Lord and not for men, knowing that from the Lord you will receive the inheritance as your reward. You are serving the Lord Christ.",Colossians 3:23-24 | Daily verse #bible ,,,,,Colossians 3:23-24 | Daily verse #bible 
31-Ephesians210_18_38_4.mp4,"""For we are his workmanship, created in Christ Jesus for good works, which God prepared beforehand, that we should walk in them."" - Ephesians 2:10",Ephesians 2:10,"For we are his workmanship, created in Christ Jesus for good works, which God prepared beforehand, that we should walk in them.",Ephesians 2:10 | Daily verse #bible ,,,,,Ephesians 2:10 | Daily verse #bible 
32-John434_2_2_2.mp4,"""Jesus said to them, “My food is to do the will of him who sent me and to accomplish his work."" - John 4:34",John 4:34,"Jesus said to them, “My food is to do the will of him who sent me and to accomplish his work.",John 4:34 | Daily verse #bible ,,,,,John 4:34 | Daily verse #bible 
33-Matthew633_52_15_12.mp4,"""But seek first the kingdom of God and his righteousness, and all these things will be added to you."" - Matthew 6:33",Matthew 6:33,"But seek first the kingdom of God and his righteousness, and all these things will be added to you.",Matthew 6:33 | Daily verse #bible ,,,,,Matthew 6:33 | Daily verse #bible 
34-Psalm271_16_8_6.mp4,"""Of David. The Lord is my light and my salvation; whom shall I fear? The Lord is the stronghold of my life; of whom shall I be afraid?"" - Psalm 27:1",Psalm 27:1,Of David. The Lord is my light and my salvation; whom shall I fear? The Lord is the stronghold of my life; of whom shall I be afraid?,Psalm 27:1 | Daily verse #bible ,,,,,Psalm 27:1 | Daily verse #bible 
35-John1633_19_7_7.mp4,"""I have said these things to you, that in me you may have peace. In the world you will have tribulation. But take heart; I have overcome the world.”"" - John 16:33",John 16:33,"I have said these things to you, that in me you may have peace. In the world you will have tribulation. But take heart; I have overcome the world.”",John 16:33 | Daily verse #bible ,,,,,John 16:33 | Daily verse #bible 
36-Galatians69_21_41_0.mp4,"""And let us not grow weary of doing good, for in due season we will reap, if we do not give up."" - Galatians 6:9",Galatians 6:9,"And let us not grow weary of doing good, for in due season we will reap, if we do not give up.",Galatians 6:9 | Daily verse #bible ,,,,,Galatians 6:9 | Daily verse #bible 
37-Matthew516_10_45_3.mp4,"""In the same way, let your light shine before others, so that they may see your good works and give glory to your Father who is in heaven."" - Matthew 5:16",Matthew 5:16,"In the same way, let your light shine before others, so that they may see your good works and give glory to your Father who is in heaven.",Matthew 5:16 | Daily verse #bible ,,,,,Matthew 5:16 | Daily verse #bible 
38-1Timothy412_13_18_6.mp4,"""Let no one despise you for your youth, but set the believers an example in speech, in conduct, in love, in faith, in purity."" - 1 Timothy 4:12",1 Timothy 4:12,"Let no one despise you for your youth, but set the believers an example in speech, in conduct, in love, in faith, in purity.",1 Timothy 4:12 | Daily verse #bible ,,,,,1 Timothy 4:12 | Daily verse #bible 
39-Ephesians613_48_17_9.mp4,"""Therefore take up the whole armor of God, that you may be able to withstand in the evil day, and having done all, to stand firm."" - Ephesians 6:13",Ephesians 6:13,"Therefore take up the whole armor of God, that you may be able to withstand in the evil day, and having done all, to stand firm.",Ephesians 6:13 | Daily verse #bible ,,,,,Ephesians 6:13 | Daily verse #bible 
4-Romans1211_14_34_11.mp4,"""Do not be slothful in zeal, be fervent in spirit, serve the Lord."" - Romans 12:11",Romans 12:11,"Do not be slothful in zeal, be fervent in spirit, serve the Lord.",Romans 12:11 | Daily verse #bible ,,,,,Romans 12:11 | Daily verse #bible 
40-John1513_12_46_6.mp4,"""Greater love has no one than this, that someone lay down his life for his friends."" - John 15:13",John 15:13,"Greater love has no one than this, that someone lay down his life for his friends.",John 15:13 | Daily verse #bible ,,,,,John 15:13 | Daily verse #bible 
41-Lamentations322-23_13_27_9.mp4,"""The steadfast love of the Lord never ceases; his mercies never come to an end; they are new every morning; great is your faithfulness."" - Lamentations 3:22-23",Lamentations 3:22-23,The steadfast love of the Lord never ceases; his mercies never come to an end; they are new every morning; great is your faithfulness.,Lamentations 3:22-23 | Daily verse #bible ,,,,,Lamentations 3:22-23 | Daily verse #bible 
42-Proverbs104_11_43_0.mp4,"""A slack hand causes poverty, but the hand of the diligent makes rich."" - Proverbs 10:4",Proverbs 10:4,"A slack hand causes poverty, but the hand of the diligent makes rich.",Proverbs 10:4 | Daily verse #bible ,,,,,Proverbs 10:4 | Daily verse #bible 
